"ranking","category","revenue","cum_revenue","pct_revenue","cum_pct_revenue"
1,health_beauty,1441248,1441248,9.10,9.10
2,watches_gifts,1305542,2746790,8.24,17.34
3,bed_bath_table,1241682,3988472,7.84,25.17
4,sports_leisure,1156656,5145128,7.30,32.47
5,computers_accessories,1059272,6204400,6.69,39.16
6,furniture_decor,902512,7106912,5.70,44.86
7,housewares,778398,7885310,4.91,49.77
8,cool_stuff,719330,8604640,4.54,54.31
9,auto,685384,9290024,4.33,58.64
10,garden_tools,584219,9874243,3.69,62.32
11,toys,561373,10435616,3.54,65.87
12,baby,480118,10915734,3.03,68.90
13,perfumery,453339,11369073,2.86,71.76
14,telephony,394883,11763956,2.49,74.25
15,office_furniture,342533,12106489,2.16,76.41
16,stationery,277742,12384231,1.75,78.17
17,pet_shop,253877,12638108,1.60,79.77
18,computers,232799,12870907,1.47,81.24
19,musical_instruments,210137,13081044,1.33,82.56
20,UNKNOWN,207705,13288749,1.31,83.87
21,electronics,206825,13495574,1.31,85.18
22,small_appliances,206669,13702243,1.30,86.48
23,fashion_bags_accessories,184274,13886517,1.16,87.65
24,consoles_games,177293,14063810,1.12,88.77
25,luggage_accessories,170875,14234685,1.08,89.85
26,construction_tools_construction,165328,14400013,1.04,90.89
27,home_appliances_2,123918,14523931,0.78,91.67
28,home_construction,96920,14620851,0.61,92.28
29,home_appliances,94990,14715841,0.60,92.88
30,furniture_living_room,86885,14802726,0.55,93.43
31,agro_industry_and_commerce,78374,14881100,0.49,93.93
32,home_confort,67073,14948173,0.42,94.35
33,fixed_telephony,64221,15012394,0.41,94.75
34,air_conditioning,61774,15074168,0.39,95.14
35,kitchen_dining_laundry_garden_furniture,58328,15132496,0.37,95.51
36,audio,56399,15188895,0.36,95.87
37,books_general_interest,56052,15244947,0.35,96.22
38,small_appliances_home_oven_and_coffee,50194,15295141,0.32,96.54
39,construction_tools_lights,48664,15343805,0.31,96.85
40,industry_commerce_and_business,47554,15391359,0.30,97.15
41,construction_tools_safety,44464,15435823,0.28,97.43
42,food,36664,15472487,0.23,97.66
43,market_place,33835,15506322,0.21,97.87
44,costruction_tools_garden,31027,15537349,0.20,98.07
45,fashion_shoes,28482,15565831,0.18,98.25
46,art,28248,15594079,0.18,98.43
47,drinks,28170,15622249,0.18,98.60
48,signaling_and_security,28017,15650266,0.18,98.78
49,furniture_bedroom,24661,15674927,0.16,98.94
50,books_technical,23379,15698306,0.15,99.08
51,food_drink,19687,15717993,0.12,99.21
52,costruction_tools_tools,17934,15735927,0.11,99.32
53,fashion_male_clothing,12950,15748877,0.08,99.40
54,christmas_supplies,12030,15760907,0.08,99.48
55,fashion_underwear_beach,11458,15772365,0.07,99.55
56,tablets_printing_image,8755,15781120,0.06,99.61
57,cine_photo,8190,15789310,0.05,99.66
58,dvds_blu_ray,7288,15796598,0.05,99.70
59,music,6725,15803323,0.04,99.75
60,furniture_mattress_and_upholstery,5999,15809322,0.04,99.78
61,books_imported,5410,15814732,0.03,99.82
62,party_supplies,5313,15820045,0.03,99.85
63,portateis_cozinha_e_preparadores_de_alimentos,4278,15824323,0.03,99.88
64,fashio_female_clothing,3425,15827748,0.02,99.90
65,fashion_sport,2698,15830446,0.02,99.92
66,la_cuisine,2389,15832835,0.02,99.93
67,arts_and_craftmanship,2184,15835019,0.01,99.95
68,diapers_and_hygiene,2141,15837160,0.01,99.96
69,pc_gamer,1680,15838840,0.01,99.97
70,flowers,1599,15840439,0.01,99.98
71,home_comfort_2,1171,15841610,0.01,99.99
72,cds_dvds_musicals,955,15842565,0.01,99.99
73,fashion_childrens_clothes,665,15843230,0.00,100.00
74,security_and_services,325,15843555,0.00,100.00
